B B
FP F[PH2:1]
FS F[SH:1]
FS S[F:1]
F[SiH3] F[SiH3:1]
F[SiH3] [SiH3][F:1]
N N
N=N N=[NH:1]
N=O N=[O:1]
N=O O=[NH:1]
N=S N=[S:1]
NCl Cl[NH2:1]
NN N[NH2:1]
NO N[OH:1]
NO O[NH2:1]
NP N[PH2:1]
NP P[NH2:1]
NS N[SH:1]
NS S[NH2:1]
N[NH3+] N[NH3+:1]
N[NH3+] [NH3+][NH2:1]
N[SiH3] N[SiH3:1]
N[SiH3] [SiH3][NH2:1]
O1[SiH2]O[SiH2]O[SiH2]O[SiH2]1 O1[SiH2]O[SiH2]O[SiH2:1]O[SiH2]1
O=P O=[PH:1]
O=P P=[O:1]
O=S O=[S:1]
O=S S=[O:1]
OO O[OH:1]
OP O[PH2:1]
OP P[OH:1]
OS O[SH:1]
OS S[OH:1]
O[SiH3] O[SiH3:1]
O[SiH3] [SiH3][OH:1]
P P
P=S S=[PH:1]
PCl Cl[PH2:1]
PCl P[Cl:1]
PS S[PH2:1]
S S
SCl Cl[SH:1]
SCl S[Cl:1]
SS S[SH:1]
[C-]#[NH+] [NH+]#[C-:1]
[NH2+]=O O=[NH2+:1]
[NH3+]O O[NH3+:1]
[NH3+]O [NH3+][OH:1]
[NH3+][O-] [NH3+][O-:1]
[NH3+][O-] [O-][NH3+:1]
[NH4+] [NH4+]
[SeH][SeH] [SeH][SeH:1]
[SiH3]Cl Cl[SiH3:1]
[SiH3]Cl [SiH3][Cl:1]
[SiH3][SiH3] [SiH3][SiH3:1]
[SiH4] [SiH4]

